name,price,score,address,description,url
Fawn Hotel,"฿2,203",8.7,"3 Chome-12-6 Shimodera, Naniwa Ward, Osaka, 556-0001日本, Namba, Osaka, Japan, 556-0001",N/A,https://www.agoda.com/fawn-hotel/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=1&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
CANDEO HOTELS Osaka Shinsaibashi,"฿7,349",9.0,"2-7-12 Shinsaibashi, Chuo-ku, Osaka, Shinsaibashi, Osaka, Japan, 542-0085",N/A,https://www.agoda.com/candeo-hotels-osaka-shinsaibashi/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
APA Hotel Namba-Shinsaibashi,"฿2,855",8.2,"2-7-12,Nishi-Shinsaibashi,Chuo-ku, Shinsaibashi, Osaka, Japan, 542-0086",N/A,https://www.agoda.com/apa-hotel-namba-shinsaibashi/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=9&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
DEL style Osaka Shinsaibashi by Daiwa Roynet Hotel,"฿4,332",9.0,"3-9-8,MinamiSenba, CHuo-ku, Shinsaibashi, Osaka, Japan, 542-0081",N/A,https://www.agoda.com/daiwa-roynet-hotel-osaka-shinsaibashi/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
APA Hotel Namba Minami Daikokucho Ekimae,"฿2,315",8.6,"3-11-8 Shikitsuhigashi, Naniwa-ku, Namba, Osaka, Japan, 556-0012",N/A,https://www.agoda.com/apa-hotel-namba-minami-daikokucho-ekimae/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=9&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
Apartment Hotel11 Nambaminami,Sold Out/Check Dates,8.9,"2-7-2 Shikitsunishi, Naniwa Ward, Osaka, Namba, Osaka, Japan, 556-0015",N/A,https://www.agoda.com/h47949541/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=1&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
APA Hotel Shin-Osaka ekimae,"฿2,172",8.3,"1-21-27 Higashinakajima, Higashiyodogawa-ku, Shinosaka, Osaka, Japan, 533-0033",N/A,https://www.agoda.com/apa-hotel-shin-osaka-ekimae/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=8&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
LIBERTY PALACE Apartment,Sold Out/Check Dates,8.4,"3-8-20 Kōzu,chuo ward ,Osaka, Namba, Osaka, Japan, 542-0072",N/A,https://www.agoda.com/liberty-palace/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=4&los=7&searchrequestid=129d25b0-982b-4baf-8565-cec8e27e581e
APA HOTEL YODOYABASHIEKIMAE,"฿2,083",8.0,"3-1-9 Fushimimachi, Chuo-ku, Umeda, Osaka, Japan, 541-0044",N/A,https://www.agoda.com/apa-villa-hotel-yodoyabashi/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&tspTypes=8&los=7&searchrequestid=5c9e42c7-1d3c-4adb-bd5f-8f9f272087c8
Just Sleep Osaka Shinsaibashi,Sold Out/Check Dates,8.5,"2-9-15 Minamisemba, Chuo-ku, Osaka-shi, Osaka 542-0081, Japan, Shinsaibashi, Osaka, Japan, 542-0081",N/A,https://www.agoda.com/just-sleep-osaka-shinsaibashi/hotel/osaka-jp.html?countryId=3&finalPriceView=1&isShowMobileAppPrice=false&cid=1919571&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=THB&isFreeOccSearch=false&los=7&searchrequestid=c7a066af-d8c7-4274-877b-0ad7ccc3adb3
